,emotion,score
6830,sadness,0.4169745445251465
5421,disgust,0.7332320213317871
1068,joy,0.9402967095375061
1347,neutral,0.38427719473838806
4747,sadness,0.9546374082565308
6005,disgust,0.6193908452987671
6039,sadness,0.85141921043396
3817,joy,0.7179926633834839
8446,sadness,0.9200767874717712
5269,neutral,0.3839244842529297
6897,disgust,0.7496078610420227
5309,fear,0.3703153729438782
31,joy,0.38043612241744995
5674,sadness,0.7150203585624695
4386,anger,0.3957520127296448
29,disgust,0.5338716506958008
4202,surprise,0.5471688508987427
7507,fear,0.39703238010406494
735,neutral,0.8635430335998535
2067,disgust,0.7952925562858582
106,sadness,0.7816354036331177
9644,disgust,0.6034309267997742
8894,disgust,0.8337406516075134
8020,disgust,0.7826002240180969
2232,joy,0.8073069453239441
993,disgust,0.9060736298561096
9412,neutral,0.45493197441101074
7058,sadness,0.4292396306991577
6789,surprise,0.4251696467399597
360,disgust,0.7500194907188416
304,surprise,0.7176258563995361
2627,disgust,0.42835530638694763
8965,neutral,0.3953900933265686
4513,disgust,0.5533254742622375
5910,neutral,0.6549330949783325
8313,neutral,0.5187667608261108
3100,disgust,0.8203130960464478
5703,fear,0.9008886814117432
3898,disgust,0.9036973118782043
5440,sadness,0.6536450982093811
7930,fear,0.42027372121810913
621,neutral,0.49988439679145813
7235,neutral,0.7519781589508057
2498,neutral,0.43685927987098694
713,neutral,0.5019771456718445
8403,disgust,0.69992595911026
2855,joy,0.5044183135032654
4269,disgust,0.5439414978027344
2908,sadness,0.3832356333732605
8080,joy,0.9404651522636414
4516,neutral,0.5633432269096375
1261,neutral,0.3294256329536438
3160,disgust,0.7656548023223877
970,disgust,0.7886323928833008
3912,disgust,0.8865457773208618
5198,neutral,0.8921809196472168
8846,joy,0.7174290418624878
259,neutral,0.2993868291378021
3790,neutral,0.6609150767326355
9202,joy,0.4101085960865021
487,fear,0.8974437713623047
7907,neutral,0.3121889531612396
518,neutral,0.5841099619865417
8342,disgust,0.38074779510498047
311,surprise,0.3156033754348755
3231,joy,0.5773561000823975
7932,neutral,0.8374823331832886
7457,joy,0.8680859804153442
9783,disgust,0.7265745401382446
5183,fear,0.495218425989151
8076,sadness,0.6698864102363586
6501,neutral,0.4289529323577881
6790,disgust,0.5263566970825195
7772,disgust,0.5817427039146423
2737,fear,0.9775380492210388
7841,joy,0.7725346684455872
6261,disgust,0.513904333114624
8205,disgust,0.8813074827194214
1247,disgust,0.8323804140090942
9335,sadness,0.3695112466812134
4194,joy,0.42472171783447266
8000,anger,0.37859198451042175
7377,disgust,0.6460771560668945
3434,anger,0.4057092070579529
5381,fear,0.7783776521682739
958,disgust,0.6720459461212158
416,disgust,0.4282476305961609
5741,joy,0.5824331641197205
6727,surprise,0.5560434460639954
4381,disgust,0.47224393486976624
5196,disgust,0.5306114554405212
1112,joy,0.9151775240898132
2688,joy,0.5192689895629883
6472,disgust,0.76125568151474
8819,joy,0.4635278880596161
7807,sadness,0.6796290278434753
3410,neutral,0.6961717009544373
80,disgust,0.7917647361755371
4613,disgust,0.884172797203064
1373,fear,0.9666606783866882
1509,neutral,0.6840857267379761
6442,sadness,0.5009175539016724
3070,disgust,0.8192705512046814
3015,anger,0.807157576084137
4822,disgust,0.4891825020313263
7821,disgust,0.4659535884857178
92,sadness,0.26059430837631226
9420,joy,0.716553270816803
6599,joy,0.5590612888336182
4442,disgust,0.893095850944519
7601,neutral,0.38567686080932617
3834,surprise,0.7528796792030334
9701,joy,0.314113050699234
4321,disgust,0.4653456211090088
3393,sadness,0.8382886648178101
4751,neutral,0.44409096240997314
7228,sadness,0.4149777293205261
9190,neutral,0.389506459236145
2360,disgust,0.6671664714813232
1147,anger,0.5673899054527283
5665,joy,0.4587925970554352
8074,joy,0.6957112550735474
4942,anger,0.5147921442985535
3662,disgust,0.844537615776062
1562,disgust,0.6919012665748596
4112,disgust,0.8542035818099976
9049,disgust,0.7037853002548218
9275,joy,0.7843548059463501
8537,joy,0.9791370630264282
794,disgust,0.5527945756912231
5853,sadness,0.890342652797699
7618,neutral,0.6624575257301331
1593,sadness,0.8044872879981995
7417,neutral,0.7460153102874756
5266,sadness,0.562425971031189
7146,disgust,0.9182569980621338
88,fear,0.798300564289093
8694,sadness,0.8698227405548096
9731,joy,0.4582476019859314
9445,joy,0.9274057745933533
6753,surprise,0.46971672773361206
3501,joy,0.594282865524292
2233,sadness,0.5622410178184509
2802,disgust,0.8255298137664795
4423,neutral,0.7332623600959778
5662,surprise,0.6486476063728333
7169,surprise,0.6704270243644714
8336,neutral,0.8242687582969666
2147,disgust,0.26866114139556885
7968,disgust,0.39828482270240784
6550,sadness,0.6864654421806335
7642,disgust,0.8022320866584778
6163,anger,0.34415948390960693
1494,disgust,0.6813349723815918
7695,sadness,0.4232412576675415
7093,neutral,0.36913183331489563
1408,disgust,0.4646730124950409
6690,sadness,0.638342559337616
3400,disgust,0.7759396433830261
108,joy,0.7276796698570251
5635,surprise,0.34120649099349976
8481,fear,0.41179943084716797
6603,fear,0.8866704106330872
1090,surprise,0.9150030612945557
5559,disgust,0.5363594889640808
9411,disgust,0.43212947249412537
8142,disgust,0.9266210794448853
8663,disgust,0.7484732270240784
6595,sadness,0.6581432223320007
623,fear,0.3750414550304413
6870,sadness,0.6818580627441406
4813,disgust,0.9406596422195435
6552,disgust,0.5917723774909973
7529,anger,0.9248853921890259
5795,sadness,0.6070135831832886
7436,disgust,0.9423379898071289
4217,joy,0.9720765948295593
5940,disgust,0.5703617334365845
8500,sadness,0.780843198299408
6428,fear,0.2700214087963104
6826,joy,0.5946635603904724
4130,joy,0.8479800820350647
7801,neutral,0.7599878311157227
7753,neutral,0.5337418913841248
4721,sadness,0.6276393532752991
1650,disgust,0.616603434085846
4140,fear,0.9336411356925964
1617,surprise,0.9423486590385437
2029,neutral,0.7525892853736877
8517,disgust,0.6091272234916687
4575,disgust,0.6867399215698242
3992,surprise,0.6452723145484924
7376,disgust,0.9792190194129944
6149,disgust,0.281583309173584
4908,disgust,0.8541428446769714
5026,neutral,0.38420170545578003
8260,sadness,0.7460605502128601
4731,fear,0.9808330535888672
7548,disgust,0.6786426901817322
8134,sadness,0.538653552532196
1606,fear,0.8434133529663086
4773,surprise,0.2603060007095337
8109,disgust,0.48910319805145264
6951,disgust,0.3343105912208557
6004,fear,0.96726393699646
7728,neutral,0.7122359275817871
3541,neutral,0.651142954826355
388,disgust,0.5128759741783142
1794,disgust,0.9758268594741821
8731,anger,0.6085725426673889
4919,disgust,0.595544695854187
5537,sadness,0.4553534984588623
3872,disgust,0.8380269408226013
8868,disgust,0.3816061317920685
2254,sadness,0.6463395357131958
3412,sadness,0.633458137512207
5459,sadness,0.9640173316001892
4955,joy,0.8602417707443237
7396,neutral,0.4420525133609772
5414,joy,0.7162648439407349
7399,disgust,0.8664169311523438
7414,fear,0.9624913930892944
9100,neutral,0.7799182534217834
4851,sadness,0.5049806237220764
2025,joy,0.7799243927001953
2615,disgust,0.5456559062004089
7388,disgust,0.8329936861991882
2926,neutral,0.7230862975120544
1121,fear,0.681084930896759
2910,joy,0.8255606293678284
8146,fear,0.8318907022476196
7383,fear,0.7443561553955078
3482,disgust,0.5302985906600952
795,neutral,0.5737116932868958
1575,fear,0.4596717655658722
6176,joy,0.4819123148918152
6266,joy,0.4220658540725708
2458,sadness,0.42973801493644714
3312,disgust,0.5370773077011108
1253,disgust,0.823589563369751
6834,disgust,0.5065199732780457
8794,sadness,0.612169623374939
3837,joy,0.6835681200027466
4398,surprise,0.34782880544662476
3595,joy,0.8543651103973389
6621,fear,0.9512096047401428
8382,sadness,0.7785652279853821
2124,disgust,0.36916613578796387
3238,neutral,0.47331249713897705
5403,disgust,0.817704975605011
5998,disgust,0.9335569739341736
5938,joy,0.4759679138660431
2045,disgust,0.3850730061531067
1578,disgust,0.819141149520874
14,disgust,0.7939450144767761
2673,disgust,0.8344875574111938
7016,fear,0.5887658596038818
8720,joy,0.6180695295333862
8849,neutral,0.7437907457351685
4812,disgust,0.9490732550621033
1084,sadness,0.9133215546607971
4983,sadness,0.9605239033699036
7155,sadness,0.6943447589874268
2884,disgust,0.36454150080680847
333,joy,0.8391750454902649
7204,fear,0.7959461212158203
4367,neutral,0.45895758271217346
3079,sadness,0.8084713220596313
7203,disgust,0.8116939067840576
9909,disgust,0.7579227089881897
8864,disgust,0.8995447158813477
263,disgust,0.7982223629951477
4337,joy,0.8967894315719604
8895,sadness,0.4537107050418854
8447,neutral,0.6711305975914001
5903,neutral,0.42966291308403015
1498,joy,0.797473132610321
4190,disgust,0.8645318746566772
7485,disgust,0.846830427646637
9643,neutral,0.47672799229621887
8310,neutral,0.5722084045410156
7590,neutral,0.40323758125305176
500,disgust,0.9621602892875671
9155,sadness,0.6197750568389893
9414,neutral,0.8037582635879517
3095,sadness,0.9612634778022766
4631,disgust,0.9353681802749634
367,disgust,0.643872082233429
4058,neutral,0.8308670520782471
8174,fear,0.5118941068649292
4630,disgust,0.772738516330719
6070,anger,0.41870859265327454
2664,neutral,0.4366765022277832
1026,disgust,0.8830441832542419
5908,neutral,0.643858015537262
5050,surprise,0.950929582118988
6328,neutral,0.5351031422615051
9733,neutral,0.5596639513969421
1691,neutral,0.6954239010810852
673,sadness,0.7432786822319031
5572,sadness,0.24903368949890137
5766,sadness,0.5153219699859619
5156,sadness,0.4252403676509857
733,fear,0.8421342372894287
3526,fear,0.7293776869773865
568,neutral,0.46926188468933105
9187,neutral,0.6384731531143188
2922,disgust,0.8239735960960388
7911,joy,0.9449529051780701
1558,neutral,0.7707573175430298
101,disgust,0.7920588850975037
3007,sadness,0.34761232137680054
7201,joy,0.5182099938392639
303,sadness,0.37877601385116577
76,sadness,0.6247260570526123
6754,disgust,0.36471861600875854
8629,joy,0.8386115431785583
1208,neutral,0.5177987813949585
7742,anger,0.4828420877456665
8214,disgust,0.8628605008125305
8944,sadness,0.9275856614112854
8413,disgust,0.7322234511375427
1775,sadness,0.29716023802757263
3473,sadness,0.37732699513435364
483,sadness,0.3461189270019531
2189,sadness,0.8182065486907959
346,disgust,0.6473663449287415
5481,joy,0.5688867568969727
8361,joy,0.2921411991119385
1472,neutral,0.7159291505813599
5100,neutral,0.7173706889152527
6765,neutral,0.7480191588401794
8706,sadness,0.33574509620666504
4929,disgust,0.6500759720802307
6329,disgust,0.6541103720664978
2609,joy,0.9711077213287354
3,joy,0.37785086035728455
2213,fear,0.9493390917778015
4827,neutral,0.3235202729701996
856,neutral,0.5549740791320801
6977,joy,0.7368068099021912
5885,joy,0.7233127951622009
624,fear,0.6088320016860962
290,surprise,0.6599472761154175
2018,neutral,0.5183979868888855
668,sadness,0.6683144569396973
8921,neutral,0.5026468634605408
8264,neutral,0.6190754771232605
9696,disgust,0.6122499704360962
1631,disgust,0.8176388144493103
5170,disgust,0.9602334499359131
7205,joy,0.34419554471969604
2522,disgust,0.8581318855285645
2215,neutral,0.39721566438674927
6968,surprise,0.7377485632896423
6496,joy,0.657866358757019
6213,surprise,0.643971860408783
7032,neutral,0.6820513606071472
7420,surprise,0.727543830871582
1107,neutral,0.43480759859085083
450,neutral,0.5803215503692627
6289,fear,0.7358870506286621
9966,neutral,0.6426383256912231
135,surprise,0.806204617023468
1785,joy,0.7467628121376038
3404,sadness,0.5993533134460449
2906,neutral,0.4425058364868164
8304,joy,0.8894232511520386
7492,sadness,0.7131385803222656
6100,disgust,0.6669043898582458
4504,sadness,0.41792985796928406
5053,surprise,0.47238266468048096
5205,joy,0.8790051341056824
4080,disgust,0.8699420690536499
6918,joy,0.7153624892234802
6802,joy,0.9355067014694214
5206,neutral,0.46580129861831665
532,neutral,0.266048789024353
4830,joy,0.7554516792297363
4038,joy,0.3818000853061676
4084,surprise,0.4809856414794922
3204,sadness,0.7253980040550232
7110,sadness,0.37529775500297546
330,joy,0.5728804469108582
4957,sadness,0.7446301579475403
3033,sadness,0.4163661003112793
7684,fear,0.3622799515724182
1597,disgust,0.2661125063896179
9919,disgust,0.879363477230072
3597,surprise,0.8477737903594971
9038,disgust,0.5494370460510254
8001,joy,0.6086764335632324
590,disgust,0.9859021902084351
647,disgust,0.9531298279762268
9102,joy,0.928087592124939
8015,disgust,0.3243574798107147
3771,surprise,0.4842652976512909
9039,neutral,0.42991864681243896
5082,disgust,0.5277307033538818
7882,disgust,0.890190064907074
9362,anger,0.4758952260017395
4210,disgust,0.9516947865486145
8834,joy,0.5314232110977173
8699,disgust,0.4410950541496277
1795,disgust,0.3399606943130493
2586,disgust,0.5119267106056213
8355,neutral,0.3894081711769104
2316,disgust,0.7330074906349182
4185,disgust,0.9535917043685913
8827,neutral,0.5397177338600159
7072,sadness,0.8187951445579529
5234,sadness,0.7476271986961365
8743,fear,0.9581761360168457
8670,joy,0.5724679231643677
4768,disgust,0.7386618852615356
9972,fear,0.5134989023208618
7144,neutral,0.6572775840759277
2913,neutral,0.4613244831562042
9871,joy,0.783139705657959
9893,disgust,0.3413693308830261
2075,disgust,0.4229115843772888
4302,sadness,0.7365062236785889
5822,disgust,0.7882660031318665
2149,disgust,0.5606760382652283
144,disgust,0.5353612899780273
4963,disgust,0.3528991937637329
8159,neutral,0.5896860361099243
9030,surprise,0.9544566869735718
4775,sadness,0.42954719066619873
8933,anger,0.5103427767753601
7749,anger,0.6966425180435181
9828,disgust,0.5952005386352539
9214,sadness,0.9069188833236694
6060,neutral,0.5843551754951477
9475,disgust,0.46036550402641296
6409,fear,0.30076780915260315
3317,neutral,0.5126885175704956
7464,fear,0.9376745223999023
3061,fear,0.3688298761844635
1355,disgust,0.3682590126991272
4514,joy,0.4608765244483948
5505,joy,0.6021592617034912
5250,neutral,0.7787771821022034
4511,sadness,0.7104697823524475
1730,surprise,0.9042113423347473
1758,sadness,0.447221040725708
6650,joy,0.4824690818786621
6646,neutral,0.6729431748390198
9860,neutral,0.3591236174106598
4139,disgust,0.6071662902832031
9393,disgust,0.7794949412345886
5123,joy,0.3179379403591156
0,fear,0.4496018886566162
1864,neutral,0.5761311054229736
543,disgust,0.3862408399581909
349,neutral,0.49961066246032715
6906,joy,0.6647788286209106
9765,joy,0.6552744507789612
2523,neutral,0.4342036545276642
3464,neutral,0.6197466254234314
457,joy,0.7630888223648071
3023,joy,0.954891562461853
7261,sadness,0.29230090975761414
9515,disgust,0.8852637410163879
7872,surprise,0.7360188961029053
6625,disgust,0.8110085725784302
2534,sadness,0.5723092555999756
131,surprise,0.3104548156261444
3704,disgust,0.48190033435821533
1372,joy,0.7328640222549438
6200,disgust,0.3621895909309387
4856,neutral,0.3588283360004425
4712,anger,0.5198657512664795
5544,disgust,0.6345207095146179
1413,joy,0.775922954082489
4113,disgust,0.5601288080215454
655,joy,0.9570661187171936
8137,sadness,0.45148342847824097
4098,sadness,0.7739789485931396
592,disgust,0.8620821833610535
8708,neutral,0.4980342984199524
3123,joy,0.35991182923316956
3047,fear,0.40678367018699646
3887,disgust,0.8922624588012695
5735,sadness,0.7242653369903564
2184,neutral,0.8094188570976257
2145,disgust,0.7438037395477295
7047,disgust,0.9401371479034424
3105,disgust,0.6022997498512268
9233,joy,0.7461751699447632
9096,surprise,0.9408577680587769
2769,joy,0.7896724939346313
5221,surprise,0.4378923773765564
5833,surprise,0.9643375873565674
1732,neutral,0.6979852318763733
265,surprise,0.7027028799057007
5144,disgust,0.8757590651512146
8267,sadness,0.6734667420387268
3937,neutral,0.476945161819458
761,surprise,0.5791236162185669
7220,joy,0.6392204761505127
8439,fear,0.56149822473526
3257,joy,0.7467539310455322
4338,neutral,0.8238141536712646
4362,sadness,0.5179306864738464
316,disgust,0.30721810460090637
8069,sadness,0.9250727891921997
1851,joy,0.5750433206558228
2484,neutral,0.6389048099517822
9873,joy,0.3355061411857605
9574,disgust,0.5988855957984924
1078,neutral,0.5595563650131226
8358,fear,0.9516304135322571
7333,neutral,0.3138209283351898
1071,fear,0.7161706686019897
103,fear,0.968867838382721
5748,sadness,0.3534262180328369
1418,disgust,0.4770566523075104
1658,joy,0.6717203855514526
5284,neutral,0.35365182161331177
1149,joy,0.4672650694847107
7150,disgust,0.756865382194519
1568,surprise,0.9323170185089111
1087,disgust,0.43679356575012207
6085,neutral,0.7775144577026367
8674,disgust,0.7452348470687866
8341,surprise,0.7584742307662964
7811,disgust,0.9290217161178589
6084,disgust,0.9281852841377258
8773,sadness,0.8814253807067871
8757,surprise,0.9626774787902832
1692,neutral,0.8182277083396912
4734,neutral,0.5066819190979004
3387,anger,0.8602193593978882
3646,joy,0.9347121715545654
1683,disgust,0.7168882489204407
8,disgust,0.8918476104736328
6062,neutral,0.6859763860702515
6516,disgust,0.9477388262748718
4123,anger,0.4746389389038086
8729,disgust,0.7759180665016174
6045,sadness,0.8099325895309448
567,sadness,0.3798770010471344
9161,neutral,0.9022212028503418
1803,neutral,0.39447614550590515
8501,joy,0.5821026563644409
4900,fear,0.414592981338501
1599,disgust,0.7599558234214783
7931,sadness,0.41556820273399353
9547,neutral,0.6037319302558899
2823,neutral,0.44402894377708435
5467,neutral,0.4889877438545227
3529,disgust,0.5396692752838135
8683,joy,0.7219254970550537
1155,disgust,0.8308558464050293
6547,joy,0.6399040222167969
9088,disgust,0.5700332522392273
7620,surprise,0.9265481233596802
8296,surprise,0.9458895325660706
4540,disgust,0.5921022891998291
9134,sadness,0.34191349148750305
6482,disgust,0.5379158854484558
5826,sadness,0.5129151344299316
1190,joy,0.8551341891288757
7444,anger,0.9508170485496521
8520,disgust,0.8376743793487549
960,neutral,0.6711392998695374
7454,fear,0.5563319325447083
36,disgust,0.5543181300163269
7516,neutral,0.826907753944397
7644,joy,0.9595715403556824
4438,sadness,0.9526824355125427
6161,fear,0.47489070892333984
7744,neutral,0.43736976385116577
9587,fear,0.5684828758239746
8119,fear,0.8742349743843079
6967,joy,0.4359316825866699
5718,joy,0.9433233141899109
577,neutral,0.8834227919578552
9833,neutral,0.4318126142024994
4102,disgust,0.9464284777641296
7646,neutral,0.916995108127594
4151,fear,0.4558899700641632
3130,disgust,0.8946203589439392
4890,surprise,0.5364058613777161
9975,sadness,0.681983232498169
7471,fear,0.9584863185882568
1833,neutral,0.36357638239860535
9148,sadness,0.484466552734375
4891,neutral,0.6116318106651306
2287,disgust,0.8953133225440979
1330,sadness,0.38210979104042053
2771,disgust,0.5132927894592285
3686,neutral,0.5282623767852783
8283,sadness,0.6901652216911316
5928,surprise,0.6247941851615906
637,neutral,0.5192270874977112
47,sadness,0.5778694152832031
2602,neutral,0.8125247359275818
1965,joy,0.5660737156867981
2168,disgust,0.3814103603363037
5049,joy,0.7966296076774597
3334,disgust,0.5530177354812622
3019,disgust,0.7684299945831299
8764,disgust,0.42269521951675415
9176,disgust,0.6143367290496826
1360,joy,0.6941814422607422
5798,disgust,0.7389518618583679
9400,neutral,0.6923340559005737
3251,joy,0.9855228662490845
6300,neutral,0.7010659575462341
2251,fear,0.35475093126296997
6027,joy,0.8254152536392212
1175,disgust,0.3433363437652588
8799,joy,0.6328723430633545
3279,fear,0.8207440376281738
2973,disgust,0.6811957955360413
3396,neutral,0.5036496520042419
6939,fear,0.9779987335205078
965,sadness,0.803978443145752
8574,sadness,0.849827766418457
742,neutral,0.7792267203330994
7514,joy,0.9619240760803223
3314,disgust,0.6293581128120422
4898,disgust,0.49473604559898376
9340,joy,0.6945644617080688
4672,disgust,0.5285848379135132
8618,sadness,0.9074054956436157
1217,joy,0.6099115610122681
4397,fear,0.42817452549934387
6080,sadness,0.42279133200645447
2614,neutral,0.6973785161972046
2620,fear,0.47301676869392395
8714,disgust,0.742500364780426
7282,disgust,0.9202409982681274
3379,fear,0.43578410148620605
7301,disgust,0.8883102536201477
9857,disgust,0.9020016193389893
5605,disgust,0.7995661497116089
9813,neutral,0.2695148289203644
5786,surprise,0.4753710627555847
8518,sadness,0.5666300058364868
6850,disgust,0.9040883183479309
1516,joy,0.8825634717941284
5098,disgust,0.2648114562034607
7636,sadness,0.8067195415496826
9085,joy,0.9642527103424072
8023,neutral,0.4104253351688385
2392,neutral,0.8819379806518555
586,sadness,0.7539118528366089
3519,disgust,0.646563708782196
7653,disgust,0.9603311419487
8946,neutral,0.61928391456604
850,disgust,0.9552940726280212
335,fear,0.5510284304618835
6634,disgust,0.6177626848220825
8972,disgust,0.852519154548645
7493,neutral,0.5375343561172485
2868,joy,0.5326065421104431
4872,disgust,0.7715591788291931
3550,surprise,0.9788959622383118
3842,fear,0.7550348043441772
7262,disgust,0.9235053062438965
5824,joy,0.6218351721763611
23,neutral,0.6857324242591858
1453,sadness,0.6119339466094971
1684,disgust,0.40413233637809753
2310,disgust,0.9285174012184143
9063,disgust,0.7988598346710205
9406,disgust,0.8264946937561035
381,anger,0.43268001079559326
5814,disgust,0.7053785920143127
5550,anger,0.3071543276309967
9308,neutral,0.6597650051116943
1618,sadness,0.9516077637672424
789,disgust,0.6639553904533386
5983,neutral,0.2882184684276581
8672,sadness,0.678851306438446
4475,joy,0.8042293787002563
5606,joy,0.43818870186805725
9312,neutral,0.6296605467796326
5648,disgust,0.9129633903503418
6216,disgust,0.8562343716621399
2286,disgust,0.8945886492729187
9993,neutral,0.8634596467018127
7578,anger,0.9666738510131836
1183,neutral,0.5453755855560303
6001,fear,0.6631356477737427
5090,disgust,0.6278098821640015
2516,fear,0.630587637424469
4122,disgust,0.33966436982154846
5521,disgust,0.8799458146095276
5627,fear,0.9071180820465088
8360,joy,0.8512480854988098
5872,fear,0.8276568651199341
8612,fear,0.472249835729599
7727,joy,0.6687277555465698
5968,neutral,0.447905033826828
1180,joy,0.5917190313339233
8762,fear,0.7877113819122314
8235,joy,0.955504298210144
2818,sadness,0.6656194925308228
9964,joy,0.570410430431366
8703,surprise,0.4343511760234833
6608,joy,0.9336796998977661
2820,anger,0.7188929319381714
7535,sadness,0.6235008835792542
2260,neutral,0.5648201704025269
2239,surprise,0.646284818649292
6021,joy,0.8665730953216553
782,neutral,0.5172863006591797
932,surprise,0.523061990737915
6202,sadness,0.468986451625824
2412,surprise,0.852847695350647
6997,sadness,0.6849185228347778
9115,neutral,0.864627480506897
1156,neutral,0.5490223169326782
8107,sadness,0.7792448997497559
5805,sadness,0.7655482292175293
4879,disgust,0.3818773925304413
3309,fear,0.9026693105697632
8961,joy,0.5565007925033569
1702,disgust,0.9155447483062744
2492,anger,0.8204867243766785
3706,surprise,0.596318781375885
8276,sadness,0.4471088945865631
286,disgust,0.45097026228904724
1608,fear,0.898552656173706
6631,joy,0.8366908431053162
8278,disgust,0.8349148035049438
7315,joy,0.49884989857673645
2252,joy,0.9446096420288086
7415,sadness,0.3300933837890625
8365,disgust,0.9130136966705322
1891,fear,0.5983459949493408
5062,sadness,0.5023296475410461
6120,disgust,0.8078476786613464
563,disgust,0.3479486107826233
291,fear,0.5084575414657593
4716,anger,0.3880823850631714
7708,neutral,0.9254249334335327
6349,neutral,0.4779854416847229
169,disgust,0.42131590843200684
267,neutral,0.2532643675804138
4638,joy,0.6147955656051636
7077,disgust,0.8539708852767944
3355,disgust,0.6566339135169983
8279,surprise,0.7254583239555359
315,joy,0.5496598482131958
6728,joy,0.6774044036865234
9495,joy,0.9073237180709839
4067,sadness,0.7504360675811768
245,joy,0.3791881501674652
252,fear,0.7362117767333984
1111,neutral,0.8383405208587646
4801,anger,0.39797186851501465
1713,fear,0.3066776394844055
